,Laptops,Precios_Antes,Precios_Now
0,"Laptop Huawei Matebook D14 I5 8gb Ram, 512gb Ssd + Regalos",3.699,2.599
1,"Macbook Air 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd)",5.299,4.799
2,Laptop Hp 15-dy2050la Intel® Core I3-1115g4 8gb 256gb+16gb,2.399,1.759
3,"Laptop Huawei Matebook D15 I5 8gb Ram, 512gb Ssd + Regalos",3.599,2.599
4,Laptop Gamer Lenovo Legion 5 Pro Ryzen 7 Geforce Rtx 3060,8.399,6.699
5,Lenovo Ideapad 5 - Ryzen 5 - 8gb - 256 Gb Ssd -graphite Grey,3.399,3.399
6,Laptop Gamer Lenovo Ideapad Gaming 3  Intel I5 Gtx 1650 Ti,4.599,3.599
7,Macbook Pro 14 Chip M1 Pro 512gb Ssd 16 Gb Ram 2021 Ingles,10.399,9.999
8,Macbook Pro 13 (2020) Chip M1 Apple / 8gb Ram 256gb Ssd,5.999,5.999
9,Macbook Pro 13 2020 M1 8gb Ram 512gb Ssd Stock Disponible!!!,7.499,6.999
10,Laptop Gamer Lenovo Legion 7 Ryzen 9 32gb 1tb Ssd Rtx 3080 ,14.000,11.999
11,Hp Laptop 15-dy2060la Ram 8gb Rom 256gb,2.599,1.499
12,Lenovo Ideapad Gaming 3- I7 11th - 16 Gb -nvidia Rtx 3050 4g,6.699,5.399
13,Acer Swift X 14  Fhd Ryzen 7 5800u Rtx 3050ti 16gb 512gb Ssd,4.949,4.949
14,Laptop Asus K513 15.6' Fhd I5 11va 8gb 512gb Ssd Lec. Huella,3.299,3.299
15,Hp Laptop 15-dw1085la (310h7la),2.249,1.699
16,Macbook Pro Retina 14 / M1 Pro 512gb 16gb / Stock Ya! / 2021,10.599,10.599
17,Lenovo Ideapad 3 - Ryzen 5 - 8gb - 512 Gb Ssd - Black,3.199,2.499
18,Laptop Hp 15-ef1009la,2.159,1.659
19,Laptop Lenovo 14w Black - A6 4 Gb 128 Gb ,2.199,1.449
20,Laptop Lenovo 14w A6 4gb 64gb ,1.899,1.099
21,Laptop Lenovo Celeron N4020 Ram 8gb Ssd 128gb Windows 10 ,749,749
22,Laptop Lenovo Ideapad 5 14 Fhd Amdryzen 7 5700u-serie 5000,3.599,3.299
23,Notebook Lenovo Legion Y545 Intel Core I7 16gb 1tb Hdd+256gb,6.999,4.699
24,Macbook Air 13 (2020) Chip M1 Apple / 8gb Ram 512gb Ssd,5.999,5.999
25,Laptop Lenovo Ideapad 5 14 Fhd Amdryzen 7 5700u-serie 5000,3.599,3.299
26,Macbook Pro 16 Chip M1 Pro 1tb Ssd 16gb Ram 2021 ,13.999,13.499
27,Cover Case Mate Para Macbook Air 13.3 A2337 M1 / A1932,69,66
28,Macbook Pro 14 Apple M1 Pro 2021 16gb 512gb Ssd | En Stock,9.999,9.999
29,"Laptop Huawei Matebook 14 I5 11va 8gb Ram,512gb Ssd +regalos",4.999,3.599
30,Laptop Lenovo Ip5 14' Ryzen 5 8gb 512gb Ssd W10 Ultra Veloz,2.799,2.799
31,Notebook Lenovo Legion Y545 Intel Core I7 16gb 1tb Hdd+256gb,6.999,4.699
32,Lenovo Thinkpad 14p - Ryzen 7 5800h - 16 Gb - 512 Gb Ssd,7.100,5.299
33,Laptop Lenovo Ideapad 10.1  Hd 4gb 64gb Intel Celeron,1.999,699
34,Lenovo Ideapad Gaming 3 - I5 11th Gen - 8 Gb - Gtx 1650 4gb,4.999,4.299
35,Laptop Dell Core I3 1115g4 4.1ghz 8gb Ssd 256gb Windows 10,2.059,2.059
36,"Laptop Dell Vostro 3405 14 PuLG Ryzen 5 3450u 8gb, Ssd 256gb",2.599,2.391
37,Hp Pavilion Laptop 14-dv0502la,3.599,2.799
38,Laptop Hp Spectre X360 Convertible 14-ea0001la,8.635,8.199
39,Laptop Hp 15-dw1085la 15.6  Intel Core I3 10°gen 256gb Ssd,2.899,1.499
40,Laptop Asus K513 15.6' I7 11va 12gb 512gb Ssd Tec. Iluminado,4.159,4.159
41,Laptop 144hz Gamer Acer 15.6' I5 8gb 1tb 256gb Ssd Video 4gb,4.199,4.199
42,Laptop Lenovo Core I3-10ma / Ram 4gb/dd 1 Tb /nuevo,1.799,1.799
43,Laptop LG Gram 14  Ci5 11th 8gb 256gb Ssd 14z90p-s,4.499,2.799
44, Laptop Asus Tuf Fx506 15.6' I7 10ma 16gb 512gb Ssd V4gb Gtx,6.499,6.499
45,Macbook Pro 16 Chip M1 Max 512gb Ssd 32gb Ram 2021 Stock!,20.459,19.579
46,Macbook Pro Retina 16 / M1 Pro 512gb 16gb / Stock Ya! / 2021,13.249,13.249
47,Macbook Pro 16 Chip M1 Max 64gb Ram 512gb Ssd 2021,20.599,19.799
48,Macbook Pro 14 / M1 Pro 512gb 16gb / Teclado Español / 2021,11.249,11.249
49,Macbook Pro 16 Chip M1 Pro 512gb Ssd 16gb Ram 2021 Ingles,12.999,12.999
